INFO 2025-04-19 22:41:35,888 autoreload 6468 7808 Watching for file changes with StatReloader
INFO 2025-04-20 04:31:05,337 basehttp 6468 17316 "DELETE /api/documents/proforma-invoices/16/ HTTP/1.1" 204 0
INFO 2025-04-20 04:31:06,730 basehttp 6468 17316 "GET /api/documents/proforma-invoices/ HTTP/1.1" 200 2806
INFO 2025-04-20 04:31:08,871 basehttp 6468 17316 "OPTIONS /api/documents/proforma-invoices/by-number/PRF-61E8693C/ HTTP/1.1" 200 0
INFO 2025-04-20 04:31:08,908 basehttp 6468 17316 "GET /api/documents/proforma-invoices/by-number/PRF-61E8693C/ HTTP/1.1" 200 863
INFO 2025-04-20 04:31:08,945 basehttp 6468 17316 "GET /api/documents/buyers/ HTTP/1.1" 200 131
INFO 2025-04-20 04:31:08,946 basehttp 6468 2368 "GET /api/documents/sellers/ HTTP/1.1" 200 512
INFO 2025-04-20 04:31:08,999 basehttp 6468 2368 "GET /api/accounts/customer_list/ HTTP/1.1" 200 111
INFO 2025-04-20 04:31:13,170 basehttp 6468 2368 "OPTIONS /api/documents/proforma-invoices/14/ HTTP/1.1" 200 0
INFO 2025-04-20 04:31:13,239 basehttp 6468 2368 "DELETE /api/documents/proforma-invoices/14/ HTTP/1.1" 204 0
INFO 2025-04-20 04:31:14,722 basehttp 6468 2368 "GET /api/documents/proforma-invoices/ HTTP/1.1" 200 1942
INFO 2025-04-20 04:31:31,742 basehttp 6468 2368 "POST /api/documents/create-order/ HTTP/1.1" 200 2102
INFO 2025-04-20 04:31:44,291 basehttp 6468 2368 "POST /api/documents/create-order/ HTTP/1.1" 200 1977
INFO 2025-04-20 04:39:01,759 autoreload 6468 7808 D:\OzhanTejarat\documents\automation.py changed, reloading.
INFO 2025-04-20 04:39:07,068 autoreload 2024 17392 Watching for file changes with StatReloader
INFO 2025-04-20 04:39:41,166 autoreload 2024 17392 D:\OzhanTejarat\documents\automation.py changed, reloading.
INFO 2025-04-20 04:39:41,860 autoreload 8760 17340 Watching for file changes with StatReloader
INFO 2025-04-20 04:40:44,664 autoreload 8760 17340 D:\OzhanTejarat\documents\automation.py changed, reloading.
INFO 2025-04-20 04:40:45,389 autoreload 3724 2736 Watching for file changes with StatReloader
WARNING 2025-04-20 04:41:01,622 basehttp 3724 3892 "POST /api/documents/create-order/ HTTP/1.1" 401 183
INFO 2025-04-20 04:41:01,628 basehttp 3724 3892 "POST /api/accounts/token/refresh/ HTTP/1.1" 200 241
INFO 2025-04-20 04:42:17,212 basehttp 3724 3892 "POST /api/documents/create-order/ HTTP/1.1" 200 965
INFO 2025-04-20 04:43:59,805 basehttp 3724 4432 "GET /admin/ HTTP/1.1" 302 0
INFO 2025-04-20 04:43:59,877 basehttp 3724 4432 "GET /admin/login/?next=/admin/ HTTP/1.1" 200 4157
INFO 2025-04-20 04:43:59,900 basehttp 3724 4432 "GET /static/admin/css/login.css HTTP/1.1" 200 951
WARNING 2025-04-20 04:43:59,931 basehttp 3724 4432 "GET /favicon.ico HTTP/1.1" 404 3592
INFO 2025-04-20 04:44:06,752 basehttp 3724 4432 "POST /admin/login/?next=/admin/ HTTP/1.1" 302 0
INFO 2025-04-20 04:44:06,806 basehttp 3724 4432 "GET /admin/ HTTP/1.1" 200 25146
INFO 2025-04-20 04:44:12,587 basehttp 3724 4432 "GET /admin/documents/proformainvoice/ HTTP/1.1" 200 20095
INFO 2025-04-20 04:44:12,640 basehttp 3724 4432 "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2025-04-20 04:44:14,081 basehttp 3724 4432 "GET /admin/documents/proformainvoice/11/change/ HTTP/1.1" 200 35338
INFO 2025-04-20 04:44:14,101 basehttp 3724 4432 "GET /static/admin/js/calendar.js HTTP/1.1" 200 9141
INFO 2025-04-20 04:44:14,101 basehttp 3724 1244 "GET /static/admin/js/admin/DateTimeShortcuts.js HTTP/1.1" 200 19319
INFO 2025-04-20 04:44:14,250 basehttp 3724 16988 "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2025-04-20 04:44:14,285 basehttp 3724 16988 "GET /static/admin/img/icon-calendar.svg HTTP/1.1" 200 1086
INFO 2025-04-20 04:44:21,024 basehttp 3724 17612 "GET /api/documents/proforma-invoices/by-number/PRF-08860A16/ HTTP/1.1" 200 845
INFO 2025-04-20 04:44:21,064 basehttp 3724 17612 "GET /api/documents/buyers/ HTTP/1.1" 200 131
INFO 2025-04-20 04:44:21,066 basehttp 3724 10848 "GET /api/documents/sellers/ HTTP/1.1" 200 512
INFO 2025-04-20 04:44:21,124 basehttp 3724 10848 "GET /api/accounts/customer_list/ HTTP/1.1" 200 111
INFO 2025-04-20 04:44:26,153 basehttp 3724 10848 "PUT /api/documents/proforma-invoices/11/ HTTP/1.1" 200 857
INFO 2025-04-20 04:44:28,501 basehttp 3724 16988 "GET /admin/documents/proformainvoice/11/change/ HTTP/1.1" 200 35350
INFO 2025-04-20 04:44:28,648 basehttp 3724 16988 "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2025-04-20 04:51:12,957 autoreload 3724 2736 D:\OzhanTejarat\documents\automation.py changed, reloading.
INFO 2025-04-20 04:51:13,742 autoreload 11444 6624 Watching for file changes with StatReloader
INFO 2025-04-20 04:51:30,910 autoreload 11444 6624 D:\OzhanTejarat\documents\automation.py changed, reloading.
INFO 2025-04-20 04:51:31,634 autoreload 10412 9700 Watching for file changes with StatReloader
INFO 2025-04-20 04:52:26,980 autoreload 10412 9700 D:\OzhanTejarat\documents\automation.py changed, reloading.
INFO 2025-04-20 04:52:27,734 autoreload 10860 11212 Watching for file changes with StatReloader
WARNING 2025-04-20 04:52:38,867 basehttp 10860 13092 "GET /api/documents/proforma-invoices/ HTTP/1.1" 401 183
INFO 2025-04-20 04:52:38,872 basehttp 10860 13092 "POST /api/accounts/token/refresh/ HTTP/1.1" 200 241
INFO 2025-04-20 04:52:38,910 basehttp 10860 13092 "GET /api/documents/proforma-invoices/ HTTP/1.1" 200 1954
INFO 2025-04-20 04:52:39,879 basehttp 10860 13092 "GET /api/documents/proforma-invoices/ HTTP/1.1" 200 1954
INFO 2025-04-20 04:52:46,092 basehttp 10860 13092 "GET /api/notifications/ HTTP/1.1" 200 2079
INFO 2025-04-20 04:53:23,275 autoreload 10860 11212 D:\OzhanTejarat\documents\automation.py changed, reloading.
INFO 2025-04-20 04:53:23,988 autoreload 9172 5676 Watching for file changes with StatReloader
INFO 2025-04-20 04:53:27,207 basehttp 9172 12456 "OPTIONS /api/documents/create-order/ HTTP/1.1" 200 0
INFO 2025-04-20 04:54:28,980 basehttp 9172 12456 "POST /api/documents/create-order/ HTTP/1.1" 200 1863
INFO 2025-04-20 04:54:55,258 basehttp 9172 16580 "PUT /api/documents/proforma-invoices/11/ HTTP/1.1" 200 857
INFO 2025-04-20 04:55:05,099 basehttp 9172 16580 "GET /api/documents/proforma-invoices/ HTTP/1.1" 200 1954
INFO 2025-04-20 04:55:53,570 basehttp 9172 16580 "POST /api/documents/create-order/ HTTP/1.1" 200 977
WARNING 2025-04-20 04:59:51,489 basehttp 9172 16580 "POST /api/documents/create-order/ HTTP/1.1" 401 183
INFO 2025-04-20 04:59:51,495 basehttp 9172 16580 "POST /api/accounts/token/refresh/ HTTP/1.1" 200 241
INFO 2025-04-20 05:00:35,636 basehttp 9172 16580 "POST /api/documents/create-order/ HTTP/1.1" 200 977
INFO 2025-04-20 05:07:09,731 basehttp 9172 9084 "POST /api/documents/create-order/ HTTP/1.1" 200 977
INFO 2025-04-20 05:07:54,321 autoreload 9172 5676 D:\OzhanTejarat\documents\automation.py changed, reloading.
INFO 2025-04-20 05:07:59,101 autoreload 10212 9776 Watching for file changes with StatReloader
INFO 2025-04-20 05:08:04,535 basehttp 10212 3732 "POST /api/documents/create-order/ HTTP/1.1" 200 1989
INFO 2025-04-20 05:08:05,284 basehttp 10212 1824 "POST /api/documents/create-order/ HTTP/1.1" 200 1989
INFO 2025-04-20 05:09:01,018 basehttp 10212 1824 "POST /api/documents/create-order/ HTTP/1.1" 200 1989
INFO 2025-04-20 05:09:09,149 autoreload 10212 9776 D:\OzhanTejarat\documents\automation.py changed, reloading.
INFO 2025-04-20 05:09:15,919 autoreload 3600 16592 Watching for file changes with StatReloader
INFO 2025-04-20 05:10:23,225 basehttp 3600 5656 "POST /api/documents/create-order/ HTTP/1.1" 200 977
WARNING 2025-04-20 05:19:47,654 basehttp 3600 15280 "POST /api/documents/create-order/ HTTP/1.1" 401 183
INFO 2025-04-20 05:19:47,661 basehttp 3600 15280 "POST /api/accounts/token/refresh/ HTTP/1.1" 200 241
INFO 2025-04-20 05:20:37,012 basehttp 3600 15280 "POST /api/documents/create-order/ HTTP/1.1" 200 977
INFO 2025-04-21 23:33:15,089 autoreload 12620 19180 Watching for file changes with StatReloader
INFO 2025-04-22 00:00:43,751 basehttp 12620 17380 "OPTIONS /api/notifications/ HTTP/1.1" 200 0
WARNING 2025-04-22 00:00:43,779 basehttp 12620 17380 "GET /api/notifications/ HTTP/1.1" 401 183
INFO 2025-04-22 00:00:43,782 basehttp 12620 17380 "OPTIONS /api/accounts/token/refresh/ HTTP/1.1" 200 0
INFO 2025-04-22 00:00:43,786 basehttp 12620 17380 "POST /api/accounts/token/refresh/ HTTP/1.1" 200 241
INFO 2025-04-22 00:00:43,824 basehttp 12620 17380 "GET /api/notifications/ HTTP/1.1" 200 2079
INFO 2025-04-22 00:00:44,885 basehttp 12620 17380 "OPTIONS /api/rep-dashboard/ HTTP/1.1" 200 0
INFO 2025-04-22 00:00:44,885 basehttp 12620 11244 "OPTIONS /api/prf-summary/ HTTP/1.1" 200 0
INFO 2025-04-22 00:00:44,886 basehttp 12620 9176 "OPTIONS /api/cot-summary/ HTTP/1.1" 200 0
